algo_fullstrong,algo_pscost,feature_constraint_degree_max,feature_constraint_degree_mean,feature_constraint_degree_min,feature_constraint_degree_stdev,feature_continuous_variables,feature_feasible_round_downs,feature_feasible_round_ups,feature_integer_variables,feature_lattice_flatness,feature_lhs_coefficient_max,feature_lhs_coefficient_mean,feature_lhs_coefficient_min,feature_lhs_coefficient_stdev,feature_nonzeros,feature_objective_max,feature_objective_mean,feature_objective_min,feature_objective_stdev,feature_prob_feasible_rounding,feature_relaxation_integer_violations,feature_relaxation_total_fractionality,feature_rhs_max,feature_rhs_mean,feature_rhs_min,feature_rhs_stdev,feature_svd_condition,feature_svd_largest,feature_svd_smallest,feature_variable_degree_max,feature_variable_degree_mean,feature_variable_degree_min,feature_variable_degree_stdev,feature_vc_adjacency_eigenvalue_stdev,feature_vc_algebraic_connectivity,feature_vc_energy,feature_vc_girth,feature_vc_revised_szeged_index,feature_vc_szeged_index,source,instances
71,97,9.0,6.9,1.0,3.17805,1.0,5.0,0.0,9.0,0.203741,2.49781,1.55229,0.326523,0.491051,69.0,0.384205,-9.14059,-15.2901,4.87636,0.191,5.0,2.14948,15.7039,9.92022,2.87423,3.92471,92.4712,12.2428,0.132395,9.0,6.9,3.0,2.18327,2.34145,0.825418,1.30067,4.0,5063.0,5063.0,Diversified,inst_0645
1,1,6.0,1.9,1.0,1.59513,3.0,0.0,3.0,7.0,0.0,0.735457,-0.20328,-1.245,0.508576,19.0,0.909285,0.247126,-0.182661,0.377311,0.112,3.0,0.252557,2.84067,-0.367306,-3.28592,1.56667,73.2606,1.96242,0.0267868,5.0,1.9,1.0,1.28668,0.754978,0.0,1.16555,4.0,1359.0,195.0,Diversified,inst_0268
3,3,5.0,2.1,1.0,1.52388,2.0,1.0,0.0,8.0,2.69734e-13,3.67588,1.79918,0.227192,0.970141,21.0,8.15519,-0.228655,-4.79862,3.83271,0.521,1.0,0.0712389,19.074,2.86984,0.0,5.78362,9.78481,6.68274,0.682971,4.0,2.1,1.0,1.28668,0.947939,0.0,1.1164,4.0,1610.5,234.0,Diversified,inst_0266
5,5,8.0,3.0,1.0,3.05505,5.0,2.0,0.0,5.0,7.52224e-309,1.88616,0.439937,-0.660492,0.619549,30.0,6.2025,0.31058,-6.62146,3.14336,0.507,2.0,0.63358,3.1242,1.51573,0.0,0.903895,1185.26,3.10193,0.0026171,5.0,3.0,1.0,1.33333,1.26655,0.0,1.21493,4.0,1721.0,1147.0,Diversified,inst_0735
1,1,5.0,2.1,1.0,1.59513,3.0,2.0,1.0,7.0,4.00182e-14,1.41786,0.716595,0.0490535,0.364545,21.0,2.33008,-0.273529,-2.09427,1.14319,0.507,2.0,0.432866,5.40899,1.97419,0.0,1.6773,53.9949,2.64864,0.0490535,4.0,2.1,1.0,1.1005,0.942822,0.0,1.12051,4.0,1622.5,246.0,Diversified,inst_0906
1,1,9.0,5.0,1.0,3.33333,3.0,0.0,0.0,7.0,1.0,0.585025,-0.105344,-1.20414,0.330099,50.0,2.73505,1.11847,0.0,1.05058,1.0,0.0,0.0,1.91937,0.89399,0.0,0.782687,469.751,1.80733,0.00384743,8.0,5.0,1.0,2.0,1.77543,0.701284,1.41614,4.0,3343.0,3343.0,Diversified,inst_0377
15,27,9.0,5.9,1.0,2.99815,4.0,0.0,0.0,6.0,1.0,1.30259,-0.0925912,-1.78052,0.83099,59.0,2.57929,0.391788,-1.01644,1.02071,0.0,3.0,0.635525,3.43298,0.474048,-3.54257,2.4878,120.038,4.014,0.0334395,8.0,5.9,2.0,1.79196,1.95666,0.843078,1.50429,4.0,4341.0,4341.0,Diversified,inst_0183
5,7,9.0,5.5,1.0,3.2059,2.0,2.0,1.0,8.0,1.17767e-309,4.57535,1.7384,-0.1971,0.939608,55.0,1.23788,-2.62126,-12.4753,4.11706,0.507,2.0,0.0379329,6.00815,2.77489,0.55209,1.53871,22.7383,11.9252,0.524454,9.0,5.5,2.0,2.12132,1.82467,0.796468,1.52874,4.0,3849.0,3849.0,Diversified,inst_0553
1,1,10.0,6.1,2.0,2.88483,1.0,0.0,2.0,9.0,0.124213,1.64443,-0.0474113,-2.05748,0.834327,61.0,2.62976,1.12473,-2.03367,1.48783,0.243,2.0,1.40562e-08,8.91977,-0.785202,-15.6114,7.24401,36.5172,3.74259,0.102488,9.0,6.1,3.0,2.02485,1.88735,1.68999,1.64803,4.0,4159.0,4159.0,Diversified,inst_0022
1,1,9.0,6.3,2.0,2.79086,1.0,0.0,0.0,9.0,1.0,0.733136,-0.522277,-1.83491,0.553098,63.0,3.68539,1.50496,0.0955769,1.25341,1.0,0.0,0.0,2.88686,0.817635,0.202616,0.980995,339.552,4.45719,0.0131267,9.0,6.3,1.0,2.75076,2.08005,0.921708,1.47977,4.0,4478.0,4478.0,Diversified,inst_0331
